County,Per Capita Income,Median HH Income,Median Family Income,Population,HHs
Cumberland,31041,55658,71335,281674,117339
Lincoln,28003,47678,58028,34457,15149
York,27137,55008,65077,197131,81009
Sagadahoc,26983,55486,66650,35293,15088
Hancock,26876,47533,60092,54418,24221
Knox,25291,45264,55830,39736,17258
Kennebec,24656,45973,56853,122151,51128
Penobscot,22977,42658,54271,153923,62966
Androscoggin,22752,44470,55045,107702,44315
Waldo,22213,41312,50222,38786,16431
Oxford,21254,39748,48000,57833,24300
Franklin,20838,39831,48634,30768,13000
Somerset,20709,36647,47177,52228,21927
Aroostook,20251,36574,47114,71870,30961
Piscataquis,19870,34016,43821,17535,7825
Washington,19401,34859,43612,32856,14302
