County,Per Capita Income,Median HH Income,Median Family Income,Population,HHs
Chittenden,31095,59878,78283,156545,61827
Grand Isle,30499,57436,66686,6970,2902
Windsor,29053,50893,63387,56670,24753
Washington,28337,55313,66968,59534,25027
Bennington,27962,47396,60642,37125,15470
Windham,27247,46714,58814,44513,19290
Lamoille,27164,52232,62364,24475,10014
Addison,26599,55800,67721,36821,14084
Orange,25951,52079,61221,28936,11887
Rutland,25426,47027,58790,61642,25984
Franklin,24767,53623,63009,47746,18513
Caledonia,22504,42706,51503,31227,12553
Orleans,20652,40202,48845,27231,11320
Essex,20040,37734,46263,6306,2818
